name,owner,url,description,stars,age_days,days_since_update,primary_language,merged_pull_requests,total_releases,total_issues,closed_issues,closed_issues_ratio,created_at,updated_at
deno,denoland,https://github.com/denoland/deno,A modern runtime for JavaScript and TypeScript.,103828,2644,0,Rust,13290,340,13126,10857,0.827136980039616,2018-05-15T01:34:26Z,2025-08-10T17:04:12Z
create-react-app,facebook,https://github.com/facebook/create-react-app,Set up a modern web app by running one command.,103418,3311,0,JavaScript,1949,83,8400,6567,0.7817857142857143,2016-07-17T14:55:11Z,2025-08-10T16:23:45Z
GitHub-Chinese-Top-Charts,GrowingGit,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,:cn: GitHub中文排行榜，各语言分设「软件 | 资料」榜单，精准定位中文好项目。各取所需，高效学习。,101120,2166,0,Java,0,0,340,161,0.47352941176470587,2019-09-05T03:01:56Z,2025-08-10T18:31:46Z
godot,godotengine,https://github.com/godotengine/godot,Godot Engine – Multi-platform 2D and 3D game engine,99762,4236,0,C++,38624,61,57949,45904,0.7921448169942535,2014-01-04T16:05:36Z,2025-08-10T18:27:01Z
terminal,microsoft,https://github.com/microsoft/terminal,"The new Windows Terminal and the original Windows console host, all in the same place!",99141,2921,0,C++,4175,136,13449,11847,0.8808833370510819,2017-08-11T18:38:22Z,2025-08-10T18:16:50Z
DeepSeek-V3,deepseek-ai,https://github.com/deepseek-ai/DeepSeek-V3,,98575,227,0,Python,21,1,582,553,0.9501718213058419,2024-12-26T09:52:40Z,2025-08-10T18:01:44Z
angular,angular,https://github.com/angular/angular,Deliver web apps with confidence 🚀,98446,3979,0,TypeScript,3866,464,29437,27974,0.9503006420491219,2014-09-18T16:12:01Z,2025-08-10T18:03:49Z
langflow,langflow-ai,https://github.com/langflow-ai/langflow,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.,97945,913,0,Python,4569,261,2660,2225,0.8364661654135338,2023-02-08T22:28:03Z,2025-08-10T18:39:30Z
frp,fatedier,https://github.com/fatedier/frp,A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.,97144,3520,0,Go,681,106,3886,3830,0.9855892949047864,2015-12-21T15:24:59Z,2025-08-10T17:41:22Z
papers-we-love,papers-we-love,https://github.com/papers-we-love/papers-we-love,Papers from the computer science community to read and discuss.,96742,4256,0,Shell,437,0,246,245,0.9959349593495935,2013-12-15T14:31:41Z,2025-08-10T18:34:50Z
material-ui,mui,https://github.com/mui/material-ui,Material UI: Comprehensive React component library that implements Google's Material Design. Free forever.,96336,4009,0,TypeScript,20734,547,20151,18538,0.9199543446975336,2014-08-18T19:11:54Z,2025-08-10T18:31:38Z
iptv,iptv-org,https://github.com/iptv-org/iptv,Collection of publicly available IPTV channels from all over the world,96061,2460,0,TypeScript,6663,0,14602,14156,0.9694562388713874,2018-11-14T22:00:57Z,2025-08-10T18:31:45Z
Awesome-Hacking,Hack-with-Github,https://github.com/Hack-with-Github/Awesome-Hacking,"A collection of various awesome lists for hackers, pentesters and security researchers",96051,3420,0,Unknown,34,0,0,0,0.0,2016-03-30T15:47:10Z,2025-08-10T18:13:31Z
ant-design,ant-design,https://github.com/ant-design/ant-design,An enterprise-class UI design language and React UI library,95599,3761,0,TypeScript,15725,712,31586,30357,0.9610903564870512,2015-04-24T15:37:24Z,2025-08-10T18:31:39Z
rustdesk,rustdesk,https://github.com/rustdesk/rustdesk,"An open-source remote desktop application designed for self-hosting, as an alternative to TeamViewer.",95414,1777,0,Rust,3613,31,3599,3540,0.9836065573770492,2020-09-28T15:36:08Z,2025-08-10T18:26:26Z
tauri,tauri-apps,https://github.com/tauri-apps/tauri,"Build smaller, faster, and more secure desktop and mobile applications with a web frontend.",95397,2220,0,Rust,5137,1000,5738,4619,0.8049843150923667,2019-07-13T09:09:37Z,2025-08-10T18:35:33Z
generative-ai-for-beginners,microsoft,https://github.com/microsoft/generative-ai-for-beginners,"21 Lessons, Get Started Building with Generative AI  🔗 https://microsoft.github.io/generative-ai-for-beginners/",94396,783,0,Jupyter Notebook,376,0,176,165,0.9375,2023-06-19T16:28:59Z,2025-08-10T18:12:11Z
thefuck,nvbn,https://github.com/nvbn/thefuck,Magnificent app which corrects your previous console command.,93375,3777,0,Python,481,17,759,472,0.621870882740448,2015-04-08T15:08:04Z,2025-08-10T17:53:08Z
clean-code-javascript,ryanmcdermott,https://github.com/ryanmcdermott/clean-code-javascript,Clean Code concepts adapted for JavaScript,93330,3179,0,JavaScript,149,0,235,163,0.6936170212765957,2016-11-25T22:25:41Z,2025-08-10T17:32:08Z
ui,shadcn-ui,https://github.com/shadcn-ui/ui,"A set of beautifully-designed, accessible components and a code distribution platform. Works with your favorite frameworks. Open Source. Open Code.",92669,949,0,TypeScript,630,52,3323,2361,0.7105025579295817,2023-01-04T12:43:27Z,2025-08-10T18:33:00Z
java-design-patterns,iluwatar,https://github.com/iluwatar/java-design-patterns,Design patterns implemented in Java,92454,4019,0,Java,1507,0,959,830,0.8654848800834203,2014-08-09T16:45:18Z,2025-08-10T18:18:28Z
pytorch,pytorch,https://github.com/pytorch/pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,92260,3284,0,Python,6190,61,52990,37588,0.7093413851670126,2016-08-13T05:26:41Z,2025-08-10T18:35:51Z
HowToCook,Anduin2017,https://github.com/Anduin2017/HowToCook,程序员在家做饭方法指南。Programmer's guide about how to cook at home (Simplified Chinese only).,92148,1989,0,Dockerfile,586,4,780,346,0.44358974358974357,2020-02-29T10:43:49Z,2025-08-10T18:31:48Z
neovim,neovim,https://github.com/neovim/neovim,Vim-fork focused on extensibility and usability,91848,4209,0,Vim Script,16056,45,13082,11427,0.8734902920042807,2014-01-31T13:39:22Z,2025-08-10T16:44:33Z
puppeteer,puppeteer,https://github.com/puppeteer/puppeteer,JavaScript API for Chrome and Firefox,91687,3014,0,TypeScript,5403,553,7207,6945,0.9636464548355765,2017-05-09T22:16:13Z,2025-08-10T17:39:59Z
Web-Dev-For-Beginners,microsoft,https://github.com/microsoft/Web-Dev-For-Beginners,"24 Lessons, 12 Weeks, Get Started as a Web Developer",91090,1734,0,JavaScript,514,0,330,242,0.7333333333333333,2020-11-10T02:44:00Z,2025-08-10T18:37:01Z
DeepSeek-R1,deepseek-ai,https://github.com/deepseek-ai/DeepSeek-R1,,90823,202,0,Unknown,9,1,624,568,0.9102564102564102,2025-01-20T11:57:28Z,2025-08-10T17:51:54Z
vue-element-admin,PanJiaChen,https://github.com/PanJiaChen/vue-element-admin,:tada: A magical vue admin                                                                https://panjiachen.github.io/vue-element-admin,89749,3037,0,Vue,311,49,3609,2357,0.6530894984760321,2017-04-17T03:35:49Z,2025-08-10T17:28:02Z
tailwindcss,tailwindlabs,https://github.com/tailwindlabs/tailwindcss,A utility-first CSS framework for rapid UI development.,89510,2865,0,TypeScript,3053,289,4525,4445,0.9823204419889503,2017-10-06T14:59:14Z,2025-08-10T18:40:58Z
fastapi,fastapi,https://github.com/fastapi/fastapi,"FastAPI framework, high performance, easy to learn, fast to code, ready for production",88211,2437,0,Python,2732,208,3466,3417,0.985862665897288,2018-12-08T08:21:47Z,2025-08-10T16:46:20Z
every-programmer-should-know,mtdvio,https://github.com/mtdvio/every-programmer-should-know,A collection of (mostly) technical things every software developer should know about,87753,2908,0,Unknown,99,0,52,23,0.4423076923076923,2017-08-24T13:18:26Z,2025-08-10T17:00:51Z
storybook,storybookjs,https://github.com/storybookjs/storybook,"Storybook is the industry standard workshop for building, documenting, and testing UI components in isolation",87478,3432,0,TypeScript,11456,1000,13649,11592,0.8492929884973258,2016-03-18T04:23:44Z,2025-08-10T17:24:10Z
supabase,supabase,https://github.com/supabase/supabase,"The Postgres development platform. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications.",86814,2129,0,TypeScript,12818,22,4625,4383,0.9476756756756757,2019-10-12T05:56:49Z,2025-08-10T17:59:48Z
whisper,openai,https://github.com/openai/whisper,Robust Speech Recognition via Large-Scale Weak Supervision,86371,1058,0,Python,119,13,0,0,0.0,2022-09-16T20:02:54Z,2025-08-10T17:22:19Z
